Make Nats?,School,NATS,UT-Austin,Rickards,Palatine,Boyceville,Seven Lakes,Dick Smith,Raymond Park,BirdSO Mini,Fairfax,Westlake,SONI,Camas,Rice,Carnegie-Mellon,Solon IP,Solon Sat,SOLVI,UC Davis,Duke,Ohio State,MIT,UChicago,North Pocono IP,North Pocono Sat,Cornell,High Desert,SOAPS,Princeton,Mentor,Yale,San Marino,Golden Gate,BirdSO Sat,UMSO,SOUP,Northwestern,Mt. Vernon,LA Tech,Mason,Louisville,Lexington
FALSE,"Lower Merion H.S. Ardmore, PA",37.24106491,,,,,,,,18.79659721,,,,,,,,17.22187469,,,,,,,,,,18.15118743,,17.32026664,,,,,22.48053035,,26.62747283,,,,,,
FALSE,"Athens H.S. Troy, MI",,,,,,,,,,,,,,,,,22.30850434,,,,,,,,,,,,,,,,,,36.2418517,,,,,30.42818692,,
TRUE,duPont Manual H.S. KY,22.29769643,,,,,,,,16.32993412,,,15.50966445,,,,33.03083525,,,,,15.05588999,,,,,,,,,,,,20.73392227,17.06677325,,,,,,,30.02619952,
FALSE,"Bothell H.S. Bothell, WA",,,,,25.78937005,,,,14.80515112,,,21.13375465,20.54992295,,,,,,,,,24.59137339,,,,,,,,,,,23.54810732,32.13053293,,,,,,,,
TRUE,"NCSSM Durham, NC",32.75834414,,,,,,,,,,,,,,,,,,,35.8167705,,,,,,,,,,,,,,,,,,,,,,
FALSE,Northview H.S. OH,,,,,,,,,,,,,,,,35.0553058,,,,,,,,,,,,,,,,,,,33.27120812,,,,,,,
FALSE,"Chaminade H.S. Mineola, NY",,,,,9.992096565,,,,,,35.40139491,,,,,,,,,10.70609988,,,,23.24897329,,,,,,,,,,,,26.97031583,,,,,,
TRUE,Jordan H.S. TX,,20.32584289,,,,26.78289926,,,,,,23.47970254,,19.76797028,,,,,,,,,,,,,,,,,,,,30.60519369,,,,,,,,
FALSE,Kenston H.S. OH,,,,,,,,,,,23.73854469,,,,,24.86760824,,,,,22.04058122,,,,,,,,,31.02297973,,,,,,,,,,,,
FALSE,Monta Vista H.S. CA,,,,,,,,,,,,11.50318291,,,,,,,29.45142537,,,,,,,,,,,,,,18.23431494,30.98479299,,,,,,,,
