Nats Rank,State,School,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
,IN,Lake Central H.S. IN,,,,,,16.83753696,,,,,19.750044,,,,3.377674624,,,,,,,,,,,,,,,,,,,,15.17580073,24.00006873,,,33.83524584
,CA,"Milpitas H.S. Milpitas, CA",,,,,,,6.911838835,11.36309789,,,,,,,,,,,24.50560491,,,20.43965025,,,,,17.46504443,,,,,,,30.53236761,20.73797204,,,,
,NJ,East Brunswick H.S. NJ,,,12.83983229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.27187574,
,MI,Pioneer H.S. MI,,,,,,,,,,,28.88812407,,,,,,,,,,,,,,,,,29.11346167,,,,,,,,21.96279581,,,
29,HI,"Iolani School Honolulu, HI",7.645937461,,,,,,,,,,,,,,,,,,,,,,,34.67506956,,,,,,,,,,,9.469197978,,,,
,PA,"Bayard Rustin H.S. West Chester, PA",,,,,,,,,,,,,,24.04865313,,,,,,,22.36610059,,,,22.96328575,,,,,,,,,,,,,24.94267419,
,NY,"John Jay H.S. Cross River, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9921705,
,NY,"Staten Island Technical H.S. New York, NY",,,,,,,,9.633930816,,,,,,,,,,31.24290393,,,,,,,,,,,,,,,,,29.28493177,,,,
,PA,"North Pocono H.S. Covington Township, PA",,,,,19.57610497,,,,,,,,,24.21741561,,,,20.73804348,,,,,17.18968953,,,,,,,,,,,,,,,26.72111799,
,CA,Monta Vista H.S. CA,,,,,,,,,,,,,,,,,,,8.333427757,,,25.40629424,,,,,,,,,,,,24.33845055,26.26413651,,,,
