Appearances,1st,2nd,3rd,4th,Overall Rank,State Rank,Make Nats?,Nats Rank,Overall Score,State,School,SONT 2022,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
4,20.11402521,17.5385386,16.06560296,13.93664628,100,19,FALSE,,17.41383008,CA,"BASIS Independent Silicon Valley San Jose, CA",,,,16.06560296,,,,,,,13.93664628,,,,,,,,,,,,17.5385386,,,,,,,,,,,,20.11402521,,,,,
1,24.78780073,,,,101,13,FALSE,,17.35146051,NY,Collegiate School NY,,,,,,,,,,,,,,,,,,,,,,,,,24.78780073,,,,,,,,,,,,,,,
1,24.30635521,,,,102,8,FALSE,,17.01444865,OH,Mayfield H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.30635521,,,,,,,,,,,
4,24.24415253,7.398049752,6.952727697,2.408744021,103,1,TRUE,33,16.97090677,MN,"Eagan H.S. Eagan, MN",,2.408744021,,,,,,,6.952727697,,,,,,,,,,,,,,,,,,,,,,,,,,,7.398049752,,,,24.24415253
3,24.22018101,11.28145679,8.955691637,,104,1,TRUE,34,16.95412671,MO,"Pembroke Hill School Kansas City, MO",24.22018101,,,,,,,,,,,,,,,,,,,,8.955691637,,,,,,,,,,,,,,,11.28145679,,,,
2,24.19181722,10.20631241,,,105,14,FALSE,,16.93427205,NY,Forest Hills H.S. NY,,,,,,,,,,,,,,,,,,,10.20631241,,,,,,,,24.19181722,,,,,,,,,,,,,
2,23.53765825,12.03820529,,,106,9,FALSE,,16.47636077,PA,"State College Area H.S. State College, PA",,,,,,,,,,,,,,,,,,,,,,23.53765825,,12.03820529,,,,,,,,,,,,,,,,
1,23.52343608,,,,107,6,FALSE,,16.46640525,FL,James S. Rickards H.S. FL,23.52343608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23.2911788,,,,108,15,FALSE,,16.30382516,NY,Bronx H.S. of Science NY,,,,,,,,,,,,,,,,,,,,,,,,,23.2911788,,,,,,,,,,,,,,,
1,23.2778012,,,,109,9,FALSE,,16.29446084,OH,Kenston H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2778012,,,,,,,,,,,
3,23.15485821,13.13979033,11.48540232,,110,6,FALSE,,16.20840075,MA,Uxbridge H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48540232,,,23.15485821,,,,,13.13979033,,
1,23.1118551,,,,111,1,TRUE,35,16.17829857,CO,Fossil Ridge H.S. CO,23.1118551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.06238029,11.24098282,,,112,10,FALSE,,16.1436662,PA,Garnet Valley H.S. PA,,,,,,,,,,,,,,,11.24098282,,,,,,,,,,,,,,,,,,,,,,,,23.06238029,
1,22.97766695,,,,113,10,FALSE,,16.08436686,OH,St. Ignatius H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97766695
3,19.87629422,16.30779519,16.29552808,,114,1,TRUE,36,16.07202643,NH,Lebanon H.S. NH,16.30779519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29552808,,,19.87629422,,,,,,,
2,22.86213444,17.64897549,,,115,8,FALSE,,16.0034941,MI,Okemos H.S. MI,,,,,,,,,,,,17.64897549,,,,,,,,,,,,,,,,,,,,,,,,,22.86213444,,,
3,22.84735372,15.75515653,10.23816127,,116,20,FALSE,,15.99314761,CA,"Arcadia H.S. Arcadia, CA",,,,15.75515653,,,,10.23816127,,,,,,,,,,,,,,,,,,,,22.84735372,,,,,,,,,,,,
4,18.52481105,16.5509092,14.07687595,10.67307283,117,5,FALSE,,15.60714846,TX,"Obra D. Tompkins H.S. Katy, TX",,,10.67307283,,16.5509092,,,,,14.07687595,,,,,,,,,,,,,,18.52481105,,,,,,,,,,,,,,,,
3,22.27251405,10.60542431,10.48762431,,118,1,TRUE,37,15.59075984,KS,"Blue Valley North H.S. Overland Park, KS",22.27251405,,,,,,,,,,,,,,,,,,,,10.60542431,,,,,,,,,,,,,,,10.48762431,,,,
3,20.71453931,15.44348304,14.17964088,,119,16,FALSE,,15.58656254,NY,"Brooklyn Technical H.S. New York, NY",,,,14.17964088,,,,,15.44348304,,,,,,,,,,,,,,,,,,,,,,,,,,,20.71453931,,,,
1,22.19614753,,,,120,3,FALSE,,15.53730327,WI,Menomonie H.S. WI,,,,,,,,,,,,,,,,22.19614753,,,,,,,,,,,,,,,,,,,,,,,,
1,22.14620121,,,,121,9,FALSE,,15.50234084,MI,Canton H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.14620121,,,
4,18.4742949,17.2601491,13.03866806,10.26455066,122,21,FALSE,,15.48068352,CA,"Dublin H.S. Dublin, CA",,,,,,,,,10.26455066,,,,,,,,,,,,,,17.2601491,,,,,,,,,,,,18.4742949,13.03866806,,,,
2,21.431677,17.70946782,,,123,17,FALSE,,15.38601828,NY,Hunter College H.S. NY,,,,,,,,,,,,,,,,,,,17.70946782,,,,,,,,21.431677,,,,,,,,,,,,,
4,19.92931755,19.17212069,9.386772804,8.052887055,124,18,FALSE,,15.27416981,NY,Division Avenue H.S. NY,,,,,,,,,,,8.052887055,,,,19.17212069,,,,19.92931755,,,,,,,,,,,,,,,,,9.386772804,,,,
2,21.73776717,12.5140365,,,125,10,FALSE,,15.21643702,MI,Novi H.S. MI,,,,,,,,,,,,12.5140365,,,,,,,,,,,,,,,,,,,,,,,,,21.73776717,,,
2,19.58739459,18.89437464,,,126,7,FALSE,,15.03041315,MA,Westborough H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,18.89437464,,,,,,,,19.58739459,,,,,,,
2,19.28023599,18.87044872,,,127,1,TRUE,38,14.89208512,CT,South Windsor H.S. CT,18.87044872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28023599,,,,,,,,,
2,19.82876612,18.0190014,,,128,1,TRUE,39,14.81944669,DE,Charter School of Wilmington DE,18.0190014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.82876612,
