Make Nats?,School,Nats,UT-Austin,Rickards,Cornell,Palatine,Boyceville,Seven Lakes,Dick Smith,Camas,Fairfax,SOAPS,Carnegie-Mellon,MIT,North Pocono,BirdSO Mini,Solon,Yale,High Desert,Golden Gate,BirdSO Sat,SOUP,Northwestern
FALSE,International Academy Central MO,,,,,,,,,,,,,,,,17.59550966,,,,,,
FALSE,OPRF IL,,,,,16.73849262,,,,,,,,,,,,,,,,,
FALSE,"Orange County School of the Arts Santa Ana, CA",,,,,,,,,,,,,,,12.65759318,,,,,17.52616375,,
FALSE,Foothill H.S. CA,,,,,,,,5.053948652,,,,,,,,,,,16.69036135,,,
FALSE,Brighton H.S. MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,Davis Senior H.S. CA,,,,,,,,,,,,,,,,,,,17.43215518,,,
FALSE,State College Area H.S. PA,,,,,,,,,,,,,,,,,,,,,,
FALSE,Mundelein H.S. IL,,,,,,,,,,,,,,,,,,,,,,17.3465204
FALSE,Roslyn H.S. NY,,,,,,,,,,,,,,,,,,,,9.648614361,,
FALSE,Ridgefield H.S. CT,,,,,,,,,,,,,,,,,13.3981301,,,,,
FALSE,Boston University Academy MA,,,,,,,,,,,,,17.2246392,,,,,,,,,
FALSE,"West Chester East H.S. West Chester, PA",,,,,,,,3.041281371,,,11.93939186,,,,,,,,,,16.18849589,
FALSE,Olentangy Orange H.S. OH,,,,,,,,,,,,,,,,16.93959926,,,,,,
FALSE,Newton North H.S. MA,,,,,,,,,,,,,16.91003392,,,,,,,,,
FALSE,"Lane Tech College Prep H.S. Chicago, IL",,,,,,7.42908076,,,,,,,,,,,,,,6.815006426,,
FALSE,Naperville Central H.S. IL,,,,,16.88749998,,,,,,,,,,,,,,,,,
FALSE,Sheldon H.S. CA,,,3.787825089,,,,,,,,,,,,,,,,15.3120282,,,
FALSE,Jonathan Law H.S. CT,,,,,,,,,,,,,16.78738635,,,,,,,,,
FALSE,"Tokay H.S. Lodi, CA",,,,,,,,,,,,,,,9.831472915,,,,16.69036135,,,
FALSE,"Sunny Hills H.S. Fullerton, CA",,,,,,,,,,,,,,,13.83896854,,,,,,,
FALSE,International Academy Central MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,General Douglas MacArthur H.S. NY,,,,,,,,,,,,,,,,,,,,,,
TRUE,Collierville H.S. TN,16.63963986,,,,,,,,,,,,,,,,,,,,,
FALSE,Stevenson H.S. MI,,,,,,,,,,,,,,,,,,,,,,
FALSE,"West Babylon Senior H.S. West Babylon, NY",,,,,,4.204908747,,9.157486607,,,,,,,,,,,,11.47206964,,
FALSE,Sharon H.S. MA,,,,,,,,,,,,,16.50310797,,,,,,,,,
TRUE,Hamilton H.S. MT,16.4012496,,,,,,,,,,,,,,,,,,,,,
FALSE,Northwestern Lehigh H.S. PA,,,,11.69310968,,,,3.927119494,,,,,,12.0426352,,,,,,,,
FALSE,Chardon H.S. OH,,,,,,,,,,,,,,,,16.15414643,,,,,,
FALSE,"Edison Academy Magnet H.S. Edison, NJ",,,8.493014067,,,,,,,,,,,,,,,,,,,
FALSE,John Adams H.S. IN,,,,,,,,,,,,,,,,,,,,,,
FALSE,Hicksville H.S. NY,,,,,,,,,,,,,,,,,,,,,,
FALSE,Dulles H.S. TX,,16.04641295,,,,,9.351770737,,,,,,,,,,,,,,,
TRUE,"BASIS Independent Washington, D.C. Washington, DC",16.0337146,,,,,,,,,6.783405899,,,,,,,,,,,,
FALSE,Salem H.S. MI,,,,,,,,,,,,,,,,,,,,,,
TRUE,"Kelly Walsh H.S. Casper, WY",15.91483627,,,,,,,,,,,,,,,,,,,,,
FALSE,Haverford H.S. PA,,,,,,,,,,,,,,,,,,,,,15.8630129,
FALSE,"Gretchen Whitney H.S. Cerritos, CA",,,,,,,,,,,,,,,15.82888559,,,,,,,
FALSE,Albany H.S. CA,,,,,,,,,,,,,,,,,,,,11.35834404,,
FALSE,Allentown Central Catholic H.S. PA,,,,,,,,3.64364784,,,,,,,,,,,,,15.63143607,
FALSE,"Del Norte H.S. San Diego, CA",,,,,,,,,,,,,,,15.55772695,,,,,11.97411318,,
FALSE,"Arnold O. Beckman H.S. Irvine, CA",,,,,,,,,,,,,,,12.00902229,,,,,15.457308,,
FALSE,"Randolph H.S. Randolph, NJ",,,,,,,,,,,14.79912644,,,,,,12.54745517,,,,,
FALSE,Northmont H.S. OH,,,,,,,,,,,,,,,,13.84335462,,,,,,
FALSE,Francis Lewis H.S. NY,,,,,,,,,,,,,,,,,,,,,,
FALSE,Central H.S. PA,,,4.926461332,,,,,6.233710763,,,,,,,,,,,,,15.265323,
FALSE,Crystal Lake Central H.S. IL,,,,,11.66206453,,,,,,,,,,,,,,,,,
TRUE,"Cabell Midland H.S. Ona, WV",15.16970701,,,,,,,,,,,,,,,,,,,,,
FALSE,Hawken School OH,,,,,,,,,,,,,,,,15.14743875,,,,,,
FALSE,Nashua H.S. North NH,,,,,,,,,,,,,15.12784897,,,,,,,,,
TRUE,Clinton H.S. SC,15.06325293,,,,,,,,,,,,,,,,,,,,,
FALSE,Cambridge Rindge and Latin School MA,,,,,,,,,,,,,15.01742672,,,,,,,,,
FALSE,"North Hollywood H.S. North Hollywood, CA",,,6.483732409,,,,,,,,,,,,13.99895662,,,,,12.77516884,,
TRUE,La Cueva H.S. NM,14.86762626,,4.274334734,,,,,,,,,,,,,,,,,,,
